timestamp,spy_price,regime,volatility,direction,confidence,blended_score,threshold,threshold_delta,block_reason,fwd_5m,fwd_15m,fwd_5m_price,fwd_15m_price,fwd_5m_status,fwd_15m_status
2026-03-02 09:31:34.741776,679.16,VOLATILE,HIGH,bearish,0.508,,,,confidence,2.55,3.47,681.71,682.63,filled,filled
2026-03-02T09:48:35.735472-05:00,682.7,VOLATILE,HIGH,bearish,0.441,,,,confidence,,,,,pending,pending
2026-03-02T09:49:35.780123-05:00,682.86,VOLATILE,HIGH,bearish,0.449,,,,confidence,,,,,pending,pending
2026-03-02T09:50:35.824180-05:00,683.22,VOLATILE,HIGH,bearish,0.418,,,,confidence,,,,,pending,pending
2026-03-02T09:51:35.869104-05:00,682.78,VOLATILE,HIGH,bearish,0.469,,,,confidence,,,,,pending,pending
2026-03-02T09:52:35.916396-05:00,682.6,VOLATILE,HIGH,bearish,0.478,,,,confidence,,,,,pending,pending
2026-03-02T09:53:35.961570-05:00,682.27,VOLATILE,HIGH,bearish,0.491,,,,confidence,,,,,pending,pending
2026-03-02T09:54:36.006773-05:00,682.11,VOLATILE,HIGH,bearish,0.498,,,,confidence,,,,,pending,pending
2026-03-02T09:55:36.052617-05:00,682.67,VOLATILE,HIGH,bearish,0.478,,,,confidence,,,,,pending,pending
2026-03-02T09:56:36.618242-05:00,682.61,VOLATILE,HIGH,bearish,0.481,,,,confidence,,,,,pending,pending
2026-03-02T09:57:36.663021-05:00,682.45,VOLATILE,HIGH,bearish,0.487,,,,confidence,,,,,pending,pending
2026-03-02T09:58:36.707583-05:00,682.65,VOLATILE,HIGH,bearish,0.481,,,,confidence,,,,,pending,pending
2026-03-02T09:59:36.752707-05:00,682.88,VOLATILE,HIGH,bearish,0.473,,,,confidence,,,,,pending,pending
2026-03-02T10:00:36.948878-05:00,683.0,VOLATILE,HIGH,bullish,0.601,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:01:37.160264-05:00,682.0,VOLATILE,HIGH,bullish,0.492,,,,confidence,,,,,pending,pending
2026-03-02T10:02:37.564438-05:00,683.4,VOLATILE,HIGH,bullish,0.621,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:03:37.804245-05:00,683.62,VOLATILE,HIGH,bullish,0.631,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:04:38.188895-05:00,684.25,VOLATILE,HIGH,bullish,0.659,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:05:38.561481-05:00,684.17,VOLATILE,HIGH,bullish,0.645,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:06:39.034146-05:00,684.32,VOLATILE,HIGH,bullish,0.651,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:07:39.247936-05:00,684.34,VOLATILE,HIGH,bullish,0.639,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:08:39.638509-05:00,684.77,VOLATILE,HIGH,bullish,0.676,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:09:39.834781-05:00,684.7,VOLATILE,HIGH,bullish,0.669,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:10:40.028047-05:00,684.29,VOLATILE,HIGH,bullish,0.643,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:11:40.201208-05:00,684.57,VOLATILE,HIGH,bullish,0.656,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:12:40.385272-05:00,684.99,VOLATILE,HIGH,bullish,0.676,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:13:40.742834-05:00,684.99,VOLATILE,HIGH,bullish,0.673,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:14:40.924057-05:00,685.07,VOLATILE,HIGH,bullish,0.674,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:15:41.115841-05:00,684.9,VOLATILE,HIGH,bullish,0.642,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:16:41.337445-05:00,684.77,VOLATILE,HIGH,bullish,0.618,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:17:41.694695-05:00,684.99,VOLATILE,HIGH,bullish,0.638,0.3333,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:18:41.886574-05:00,684.93,VOLATILE,HIGH,bullish,0.617,0.6667,,,execution_plan_none,,,,,pending,pending
2026-03-02T10:19:41.930945-05:00,684.54,VOLATILE,HIGH,bullish,0.547,,,,confidence,,,,,pending,pending
2026-03-02T10:20:42.301610-05:00,684.68,VOLATILE,HIGH,bullish,0.588,0.3333,,,execution_plan_none,,,,,pending,pending
