time,direction,impulse,follow,price,fwd_5m,fwd_10m,fwd_5m_price,fwd_5m_time,fwd_5m_status,fwd_10m_price,fwd_10m_time,fwd_10m_status
2026-02-27 15:28:00,bearish,0.915,0.5,685.77,-0.1000000000000227,-0.5900000000000318,685.67,2026-02-27 15:32:00,filled,685.18,2026-02-27 15:36:00,filled
2026-03-03 11:08:00,bullish,1.242,0.75,674.79,-0.3099999999999454,0.910000000000082,674.48,2026-03-03 11:12:00,filled,675.7,2026-03-03 11:17:00,filled
2026-03-03 11:15:00,bullish,0.913,0.5,675.65,-0.3700000000000045,0.4900000000000091,675.28,2026-03-03 11:19:00,filled,676.14,2026-03-03 11:23:00,filled
2026-03-03 11:17:00,bullish,0.946,0.5,675.7,-0.2800000000000864,0.8199999999999363,675.42,2026-03-03 11:21:00,filled,676.52,2026-03-03 11:25:00,filled
2026-03-03 11:19:00,bearish,0.885,0.75,675.28,0.8600000000000136,0.75,676.14,2026-03-03 11:23:00,filled,676.03,2026-03-03 11:27:00,filled
2026-03-03 11:21:00,bearish,0.938,0.75,675.42,1.1000000000000227,0.5900000000000318,676.52,2026-03-03 11:25:00,filled,676.01,2026-03-03 11:29:00,filled
2026-03-03 11:23:00,bullish,1.14,0.75,676.14,-0.1100000000000136,-1.0199999999999818,676.03,2026-03-03 11:27:00,filled,675.12,2026-03-03 11:31:00,filled
2026-03-03 11:25:00,bullish,1.07,1.0,676.52,-0.5099999999999909,-1.6100000000000136,676.01,2026-03-03 11:29:00,filled,674.91,2026-03-03 11:33:00,filled
2026-03-03 11:27:00,bearish,0.935,0.5,676.03,-0.9099999999999682,-0.0399999999999636,675.12,2026-03-03 11:31:00,filled,675.99,2026-03-03 11:35:00,filled
2026-03-03 11:29:00,bearish,0.78,0.75,676.01,-1.1000000000000227,0.1000000000000227,674.91,2026-03-03 11:33:00,filled,676.11,2026-03-03 11:37:00,filled
2026-03-03 11:31:00,bearish,0.795,0.75,675.12,0.8700000000000045,0.9700000000000272,675.99,2026-03-03 11:35:00,filled,676.09,2026-03-03 11:39:00,filled
2026-03-03 11:33:00,bearish,0.881,1.0,674.91,1.2000000000000457,1.2100000000000364,676.11,2026-03-03 11:37:00,filled,676.12,2026-03-03 11:41:00,filled
2026-03-03 11:35:00,bullish,1.087,0.5,675.99,0.1000000000000227,0.5599999999999454,676.09,2026-03-03 11:39:00,filled,676.55,2026-03-03 11:43:00,filled
2026-03-03 11:37:00,bullish,1.063,0.75,676.11,0.0099999999999909,1.17999999999995,676.12,2026-03-03 11:41:00,filled,677.29,2026-03-03 11:45:00,filled
2026-03-03 11:39:00,bullish,0.751,0.5,676.09,0.4599999999999227,1.759999999999991,676.55,2026-03-03 11:43:00,filled,677.85,2026-03-03 11:47:00,filled
2026-03-03 11:41:00,bullish,0.587,0.5,676.12,1.169999999999959,1.330000000000041,677.29,2026-03-03 11:45:00,filled,677.45,2026-03-03 11:49:00,filled
2026-03-03 11:43:00,bullish,1.177,0.5,676.55,1.3000000000000682,0.8300000000000409,677.85,2026-03-03 11:47:00,filled,677.38,2026-03-03 11:51:00,filled
2026-03-03 11:45:00,bullish,1.409,0.75,677.29,0.1600000000000818,0.6200000000000045,677.45,2026-03-03 11:49:00,filled,677.91,2026-03-03 11:53:00,filled
2026-03-03 11:47:00,bullish,1.696,0.75,677.85,-0.4700000000000273,0.2300000000000182,677.38,2026-03-03 11:51:00,filled,678.08,2026-03-03 11:55:00,filled
2026-03-03 11:49:00,bullish,1.389,0.25,677.45,0.4599999999999227,0.4599999999999227,677.91,2026-03-03 11:53:00,filled,677.91,2026-03-03 11:57:00,filled
2026-03-03 11:51:00,bearish,1.027,0.75,677.38,0.7000000000000455,0.1399999999999863,678.08,2026-03-03 11:55:00,filled,677.52,2026-03-03 11:59:00,filled
2026-03-03 11:53:00,bullish,0.899,0.75,677.91,0.0,-0.8099999999999454,677.91,2026-03-03 11:57:00,filled,677.1,2026-03-03 12:01:00,filled
2026-03-03 11:55:00,bullish,0.621,0.75,678.08,-0.5600000000000591,-0.9900000000000092,677.52,2026-03-03 11:59:00,filled,677.09,2026-03-03 12:03:00,filled
2026-03-03 11:57:00,neutral,0.597,0.0,677.91,-0.8099999999999454,-0.5299999999999727,677.1,2026-03-03 12:01:00,filled,677.38,2026-03-03 12:05:00,filled
2026-03-03 11:59:00,bearish,0.723,0.75,677.52,-0.42999999999995,-0.2200000000000272,677.09,2026-03-03 12:03:00,filled,677.3,2026-03-03 12:07:00,filled
2026-03-03 12:01:00,bearish,0.867,0.75,677.1,0.2799999999999727,-0.2900000000000773,677.38,2026-03-03 12:05:00,filled,676.81,2026-03-03 12:09:00,filled
2026-03-03 12:03:00,bearish,0.94,0.5,677.09,0.2099999999999227,-0.4500000000000455,677.3,2026-03-03 12:07:00,filled,676.64,2026-03-03 12:11:00,filled
2026-03-03 12:05:00,bullish,0.923,0.5,677.38,-0.57000000000005,-0.75,676.81,2026-03-03 12:09:00,filled,676.63,2026-03-03 12:13:00,filled
2026-03-03 12:07:00,bullish,0.877,0.5,677.3,-0.6599999999999682,-0.2099999999999227,676.64,2026-03-03 12:11:00,filled,677.09,2026-03-03 12:15:00,filled
2026-03-03 12:09:00,bearish,0.86,0.75,676.81,-0.1799999999999499,0.3300000000000409,676.63,2026-03-03 12:13:00,filled,677.14,2026-03-03 12:17:00,filled
2026-03-03 12:11:00,bearish,0.824,0.75,676.64,0.4500000000000455,0.9300000000000636,677.09,2026-03-03 12:15:00,filled,677.57,2026-03-03 12:19:00,filled
2026-03-03 12:13:00,bearish,0.795,0.5,676.63,0.5099999999999909,0.9400000000000546,677.14,2026-03-03 12:17:00,filled,677.57,2026-03-03 12:21:00,filled
2026-03-03 12:15:00,bullish,0.815,0.5,677.09,0.4800000000000182,0.8700000000000045,677.57,2026-03-03 12:19:00,filled,677.96,2026-03-03 12:23:00,filled
2026-03-03 12:17:00,bullish,0.876,0.5,677.14,0.4300000000000636,1.1100000000000136,677.57,2026-03-03 12:21:00,filled,678.25,2026-03-03 12:25:00,filled
2026-03-03 12:19:00,bullish,0.912,0.75,677.57,0.3899999999999863,0.4099999999999681,677.96,2026-03-03 12:23:00,filled,677.98,2026-03-03 12:27:00,filled
2026-03-03 12:21:00,bullish,1.158,0.75,677.57,0.67999999999995,0.7799999999999727,678.25,2026-03-03 12:25:00,filled,678.35,2026-03-03 12:29:00,filled
2026-03-03 12:23:00,bullish,1.062,0.75,677.96,0.0199999999999818,-0.6299999999999955,677.98,2026-03-03 12:27:00,filled,677.33,2026-03-03 12:31:00,filled
2026-03-03 12:25:00,bullish,0.912,0.75,678.25,0.1000000000000227,-1.4600000000000364,678.35,2026-03-03 12:29:00,filled,676.79,2026-03-03 12:33:00,filled
2026-03-03 12:27:00,bullish,0.807,0.25,677.98,-0.6499999999999773,-1.5,677.33,2026-03-03 12:31:00,filled,676.48,2026-03-03 12:35:00,filled
