timestamp,outcome,block_reason,regime,volatility,direction_60m,confidence_60m,direction_15m,confidence_15m,dual_alignment,conviction_score,impulse,follow_through,blended_score,threshold,threshold_delta,ml_weight,regime_samples,expectancy_samples,regime_transition,regime_transition_severity,spy_price
2026-03-02T09:31:34.741545-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.508,bearish,0.508,True,,,,,,,,,,,,
2026-03-02T09:32:35.008599-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.493,bearish,0.493,True,,,,,,,,,,,,
2026-03-02T09:33:35.053519-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.49,bearish,0.49,True,,,,,,,,,,,,
2026-03-02T09:34:35.099273-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.494,bearish,0.494,True,,,,,,,,,,,,
2026-03-02T09:35:35.145750-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.475,bearish,0.475,True,,,,,,,,,,,,
2026-03-02T09:36:35.191276-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.47,bearish,0.47,True,,,,,,,,,,,,
2026-03-02T09:37:35.236031-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.473,bearish,0.473,True,,,,,,,,,,,,
2026-03-02T09:38:35.280484-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.473,bearish,0.473,True,,,,,,,,,,,,
2026-03-02T09:39:35.326445-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.491,bearish,0.491,True,,,,,,,,,,,,
2026-03-02T09:40:35.371684-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.512,bearish,0.512,True,,,,,,,,,,,,
2026-03-02T09:41:35.418235-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.51,bearish,0.51,True,,,,,,,,,,,,
2026-03-02T09:42:35.463997-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.501,bearish,0.501,True,,,,,,,,,,,,
2026-03-02T09:43:35.509473-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.488,bearish,0.488,True,,,,,,,,,,,,
2026-03-02T09:44:35.554181-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.493,bearish,0.493,True,,,,,,,,,,,,
2026-03-02T09:45:35.599850-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.482,bearish,0.482,True,,,,,,,,,,,,
2026-03-02T09:46:35.645353-05:00,blocked,confidence,VOLATILE,HIGH,bearish,0.468,bearish,0.468,True,,,,,,,,,,,,
